id,state,abbr,income,homeprice
1,Alabama,AL,42830,219900
2,Alaska,AK,71583,294000
4,Arizona,AZ,50068,295000
5,Arkansas,AR,41262,179500
6,California,CA,61933,549900
8,Colorado,CO,61303,429800
9,Connecticut,CT,70048,327950
10,Delaware,DE,59716,299000
11,Washington D.C.,DC,71648,599900
12,Florida,FL,47463,299000
13,Georgia,GA,49321,265000
15,Hawaii,HI,69592,635000
16,Idaho,ID,47861,325000
17,Illinois,IL,57444,248900
18,Indiana,IN,49446,194900
19,Iowa,IA,53712,180000
20,Kansas,KS,52504,199900
21,Kentucky,KY,42958,199000
22,Louisiana,LA,44555,219900
23,Maine,ME,49462,250000
24,Maryland,MD,73971,329989
25,Massachusetts,MA,69160,479900
26,Michigan,MI,49847,191000
27,Minnesota,MN,61481,280000
28,Mississippi,MS,39680,188900
29,Missouri,MO,48363,192500
30,Montana,MT,46328,325000
31,Nebraska,NE,52686,215000
32,Nevada,NV,51450,320000
33,New Hampshire,NH,66532,309900
34,New Jersey,NJ,71919,342000
35,New Mexico,NM,44803,239000
36,New York,NY,58878,425000
37,North Carolina,NC,46556,275000
38,North Dakota,ND,59029,227000
39,Ohio,OH,49308,179900
40,Oklahoma,OK,47529,192000
41,Oregon,OR,51075,389997
42,Pennsylvania,PA,53234,224990
44,Rhode Island,RI,54891,324900
45,South Carolina,SC,45238,252900
46,South Dakota,SD,50979,225000
47,Tennessee,TN,44361,259000
48,Texas,TX,53035,283499
49,Utah,UT,60922,369900
50,Vermont,VT,54166,274000
51,Virginia,VA,64902,320000
53,Washington,WA,61366,599000
54,West Virginia,WV,41059,166488
55,Wisconsin,WI,52622,222500
56,Wyoming,WY,57055,256511
